jealand,	জ্যালান্ড,	জিল্যান্ড,	
avetar,	অভেতার,	অবতার,	
hocker,	হককার,	হুকার,	
phutanto,	ফুটান্ত,	ফুটন্ত,	
tokey,	টোকে,	ত্বকেই,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
pramathesh,	প্রমথেস,	প্রমথেশ,	
dap,	ডাপ,	ড্যাপ,	
boikalya,	বৈকল্য,	বৈকল্য,	
bharma,	ভার্ম,	ভার্মা,	
crime,	ক্রিম,	ক্রাইম,	
bharatey,	ভারতে,	ভারতে,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
soshej,	শশেজ,	সসেজ,	
postac,	পোস্টাক,	পোস্টকে,	
prety,	প্রিটি,	প্রিটি,	
byatari,	ব্যাটারি,	ব্যাটারী,	
ghatol,	ঘটল,	ঘটল,	
bharadwaj,	ভারাদ্যাজ,	ভরদ্বাজ,	
craze,	ক্রসজ,	ক্রেজ,	
maktum,	মক্তম,	মাকতুম,	
mandando,	মন্দন্ড,	মানদণ্ড,	
mosan,	মসান,	মোশন,	
boner,	বনের,	বনের,	
chhotto,	ছত্ব,	ছোট্ট,	
loukikata,	লৌকিকাটা,	লৌকিকতা,	
annimated,	অনিমাতাদ,	এনিমেটেড,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
niranjon,	নিরাঞজন,	নিরঞ্জন,	
kash,	কাশ,	কাস,	
bipojjanak,	বিপদজ্জনক,	বিপজ্জনক,	
musalmanderkey,	মুসামলনমদেরকে,	মুসলমানদেরকে,	
kkomatei,	কমাতেই,	কমাতেই,	
satthikata,	সাথিকতা,	সঠিকতা,	
obolokon,	অবলকন,	অবলোকন,	
graambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
madaul,	মাদাল,	মাদল,	
alaoler,	আলালের,	আলাওলের,	
pacchi,	পাচ্চি,	পাচ্ছি,	
ujobekeestan,	উজবেক্স্তান,	উজবেকিস্তান,	
lecense,	লেসেন্স,	লাইসেন্স,	
brookolin,	ব্রোকলিন,	ব্রুকলিন,	
senabahineeow,	সেনাবাহিন,	সেনাবাহিনীও,	
bhageroi,	ভাগেরই,	ভাগেরই,	
ssumi,	সুমি,	সুমি,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
daroda,	দারদা,	দারদা,	
taffsher,	তাফসের,	তাফসীর,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
muhamad,	মুহামদ,	মুহাম্মদ,	
herisoner,	হেরিশনের,	হ্যারিসনের,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
chalchhe,	চলছে,	চলছে,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
armshtronj,	আর্সস্টার্জ,	আর্মস্ট্রং,	
duma,	দুমা,	দুমা,	
primo,	প্রিম,	প্রিমো,	
macho,	মাচ,	মাছও,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
satarkabhabe,	সতাররকাভাবে,	সতর্কভাবে,	
diares,	ডিয়ারেস,	ডিআরএস,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
ekpaashe,	একপাশে,	একপাশে,	
bhaskar,	ভাসকার,	ভাস্কর,	
bardhitansh,	বর্ধিতাঁস,	বর্ধিতাংশ,	
jwaluk,	জ্বুলুক,	জ্বলুক,	
nikate,	নিকটে,	নিকটে,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
raitasa,	রাইতস,	রাইটস,	
bafar,	বাফার,	বাফার,	
retasa,	রেটস,	রাইটস,	
besinay,	বেশিনা,	বেসিনে,	
sakaar,	সাকার,	সকার,	
itostato,	ইতস্তত,	ইতস্ততঃ,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
turqi,	টার্কি,	তুর্কি,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
mit,	মিট,	এমআইটি,	
ooeepoka,	উইপোকা,	উইপোকা,	
daalu,	ডালু,	ডালু,	
saseza,	সাসেজ,	সসেজ,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
oviyojan,	অভিযোজন,	অভিযোজন,	
manushsaho,	মানুসহ,	মানুষসহ,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
gutano,	গুটানো,	গুটানো,	
jahns,	জান্স,	জন্স,	
bolokarak,	বলকারক,	বলকারক,	
dadaa,	দাদা,	দাদা,	
ssumita,	সুমিতা,	সুমিতা,	
mehonoti,	মেহনাটি,	মেহনতি,	
bandike,	বন্দিকে,	বন্দীকে,	
durgatsober,	দুর্গতসবের,	দুর্গোৎসবে,	
boarana,	বোরান,	বোরন,	
idyi,	এদি,	আইডিই,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
aashtikota,	অস্তিকোাত,	আস্তিকতা,	
amitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
pyor,	প্যার,	পিওর,	
bhenna,	ভেন্ন,	ভেন্না,	
chaalta,	চালতো,	চালতা,	
batsmanei,	বাতসমানেই,	ব্যাটসম্যানই,	
bunat,	বুনাট,	বুনট,	
baipasa,	ব্যাপসস,	বাইপাস,	
saamaanyai,	সামান্যাই,	সামান্যই,	
flask,	ফ্লাসক,	ফ্লাস্ক,	
sarjur,	সর্জুর,	সরযূর,	
satjoner,	সতযনের,	সাতজনের,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
machhe,	মাছে,	মাছে,	
durgotsob,	দুর্গতস্ব,	দুর্গোৎসব,	
siima,	সিম,	সীমা,	
gora,	গোর,	গোর,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
transphorm,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
daakticket,	ডাক্টিকেট,	ডাকটিকিট,	
brekathru,	ব্রকেষরু,	ব্রেকথ্রু,	
otitkaley,	অতীতকালে,	অতীতকালে,	
nirapottamulok,	নিরাপত্মূলক,	নিরাপত্তামূলক,	
deeares,	ডিয়েস,	ডিআরএস,	
muscut,	মাসককট,	মাস্কাট,	
sobrakamer,	সব্রকমের,	সবরকমের,	
laisens,	লাইসেন্স,	লাইসেন্স,	
modeley,	মোদেলে,	মডেলে,	
saurse,	সার্স,	সোর্স,	
ronodeep,	রণদীপ,	রণদীপ,	
charukala,	চারুকালা,	চারুকলা,	
sahokaree,	সহকারী,	সহকারী,	
modhumoti,	মধুমতি,	মধুমতী,	
shhcholashtic,	স্কললাস্টিক,	স্কলাস্টিক,	
digri,	ডিগ্রী,	ডিগ্রি,	
patochitra,	পতচিত্র,	পটচিত্র,	
silabhara,	সিলভার,	সিলভার,	
somaazer,	সমাজের,	সমাজের,	
asamanjashapurna,	অসমসনাপস্পরুণ,	অসামঞ্জস্যপূর্ণ,	
pratimar,	প্রতিমার,	প্রতিমার,	
gonohottake,	গণহত্তাকে,	গণহত্যাকে,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
homesh,	হোমেস,	হোমস,	
cinematographar,	কিনেমোগ্রফফর,	সিনেমাটোগ্রাফার,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
carlos,	কার্লস,	কার্লোস,	
kanayi,	কানই,	কানাই,	
aborto,	আবর্ত,	আবর্ত,	
jaksa,	যক্ষ,	যক্ষ,	
amarjita,	অমার্জিত,	অমার্জিত,	
chaanoo,	চানু,	চানু,	
rajpurohit,	রাজপুরোহিত,	রাজপুরোহিত,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
kalkarkhana,	কালকর্ষণা,	কলকারখানা,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
turqamena,	তুর্কমেন,	তুর্কমেন,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
seemons,	সেমন্স,	সিমন্স,	
purbanchole,	পূর্বনশ্বলে,	পূর্বাঞ্চলে,	
ramdhanu,	রামধানু,	রামধনু,	
potthon,	পঠঠন,	পঠন,	
tonga,	তঙ্গ,	টোঙ্গা,	
abosaney,	অবসনে,	অবসানে,	
bongshoke,	বংশকে,	বংশকে,	
gazipur,	গাজীপুর,	গাজীপুর,	
pujito,	পুজিত,	পুজিত,	
balokarak,	বালকরক,	বলকারক,	
jatti,	যাত্তি,	জাতটি,	
jadrel,	জাদ্রেল,	জাঁদরেল,	
gaddaafee,	গাদ্দাফী,	গাদ্দাফী,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
emiretus,	এমেরিটাস,	এমিরেটাস,	
satarkatar,	সতরতকতার,	সতর্কতার,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
armashtram,	অর্মস্ত্রাম,	আর্মস্ট্রং,	
nyeta,	ন্যাট,	ম্যাট,	
polo,	পোলো,	পোলো,	
nadigulir,	নদীগুলির,	নদীগুলির,	
ingrezder,	ইংরেজেদের,	ইংরেজদের,	
bolechile,	বলেছিলে,	বলেছিলে,	
skara,	স্কার,	স্কোর,	
nadike,	নাদীকে,	নদীকে,	
tyunar,	টুনার,	টিউনার,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
bisheshshyer,	বিশেষে্যের,	বিশেষ্যের,	
bhaabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
miari,	মিয়রি,	ম্যারি,	
mugdaal,	মুগগল,	মুগডাল,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
nishchitrupe,	নিশ্চিত্রূপে,	নিশ্চিতরূপে,	
soasage,	সোসাগে,	সসেজ,	
otiteo,	অতিতেও,	অতীতেও,	
consarvation,	কনসারভেনশন,	কনসারভেশন,	
sachetanatamulok,	সচেতানমাতক,	সচেতনতামূলক,	
chon,	চোন,	ছোঁ,	
dianes,	ডিয়েন,	ডিএনএস,	
banijyikvittey,	বানিজ্যিক্তিকে,	বাণিজ্যিকভিত্তিতে,	
agibon,	আগিবন,	আজীবন,	
daackticket,	ডাক্টিকেট,	ডাকটিকিট,	
samudratatey,	সমুদ্রততে,	সমুদ্রতটে,	
hepetaitisa,	হ্যাপটিটাইস,	হেপাটাইটিস,	
sotorkotar,	সতরতকতার,	সতর্কতার,	
sausagee,	সৌশগী,	সসেজ,	
the,	দি,	থাই,	
anciint,	অ্যান্সেট,	এনসিয়েন্ট,	
brek,	ব্রেক,	ব্রেক,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ganesher,	গণেের,	গণেশের,	
naraphoqa,	নরফোকা,	নরফোক,	
bifol,	বিফল,	বিফল,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
jamjomat,	যাম্যমত,	জমজমাট,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
sanmukh,	সামমুখ,	সন্মুখ,	
pooroheetder,	পুরহিতদের,	পুরোহিতদের,	
suraropeeto,	সুরারোপিত,	সুরারোপিত,	
nickeel,	নিকেল,	নিকেল,	
jatak,	যতক,	জাতক,	
faskari,	ফস্কারি,	ফাঁসকারী,	
tukrotey,	টুক্রতে,	টুকরোতে,	
nondolal,	নন্দলাল,	নন্দলাল,	
kindama,	কিন্ডম,	কিংডম,	
digrike,	ডিগ্রীক,	ডিগ্রিকে,	
sossa,	সসা,	শশা,	
sahinsatar,	সহিনস্তার,	সহিংসতার,	
vageryi,	ভাগেরই,	ভাগেরই,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
olpokichudin,	অল্পকিছিদিন,	অল্পকিছুদিন,	
foksher,	ফক্সের,	ফক্সের,	
sadeena,	সাদিনা,	সাডেন,	
mozdoor,	মজদুর,	মজদুর,	
shamook,	সামুক,	শামুক,	
juktorashtreo,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রেও,	
ropto,	রোপত,	রপ্ত,	
deepei,	ডিপেই,	দ্বীপেই,	
atto,	আত্ম,	আত্ম,	
dharabahikbhabey,	ধারাবাকিভাবে,	ধারাবাহিকভাবে,	
tiger,	টিগের,	টাইগার,	
uzobekeestaan,	উজবেক্ষাকিন,	উজবেকিস্তান,	
pachak,	পাচক,	পাচক,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
nilkuthir,	নীলকুষীর,	নীলকুঠির,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
ajijer,	আজিজের,	আজিজের,	
aziza,	আজিজা,	আজিজা,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
bhagirath,	ভাগীরাথ,	ভগীরথ,	
suchanakal,	সুচনাকল,	সূচনাকাল,	
female,	ফেমালে,	ফিমেল,	
kindom,	কিন্ডম,	কিংডম,	
elakatite,	এলাকটিতে,	এলাকাটিকে,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
firoz,	ফিরোজ,	ফিরোজ,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
phareeksa,	ফরিক্স,	ফরেক্স,	
sothik,	সথীক,	সঠিক,	
granthaty,	গ্রন্থটিট,	গ্রন্থটি,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
myathious,	ম্যাথিউস,	ম্যাথিউস,	
beildaar,	বেলদদার,	বিল্ডার,	
jokrito,	যকৃত,	যকৃৎ,	
chidropathe,	ছিদ্রপথে,	ছিদ্রপথে,	
shikarer,	শিকারের,	শিকারের,	
jomaanor,	জমানোর,	জমানোর,	
nathivookto,	নথিভুক্ত,	নথিভুক্ত,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
transformarer,	ট্রান্সফোর্মার,	ট্রান্সফরমারের,	
chhaani,	ছানি,	ছানি,	
samajeekotar,	সামাজিকিকতার,	সামাজিকতার,	
grambaashio,	গ্রামবাশিও,	গ্রামবাসীও,	
gulen,	গুলেন,	গুলেন,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
parkasa,	পার্কস,	পার্কস,	
marier,	মেরির,	ম্যারির,	
sikkharrtheerao,	শিক্ষার্থীরার,	শিক্ষার্থীরাও,	
vishad,	বিষাদ,	বিষদ,	
ojouno,	অযৌন,	অযৌন,	
asamorthito,	অসামর্থিত,	অসমর্থিত,	
vaabna,	ভাবনা,	ভাবনা,	
bager,	বাগের,	বাগের,	
prochondota,	প্রচন্ডতা,	প্রচণ্ডতা,	
sabhanetri,	সভানেত্রী,	সভানেত্রী,	
sainyasoho,	সৈন্যসহ,	সৈন্যসহ,	
jerusaleme,	জেরুসাইমে,	জেরুসালেমে,	
dhormi,	ধর্মি,	ধর্মী,	
norpholk,	নরফলক,	নরফোক,	
nek,	নেক,	নেক,	
afjal,	আফজাল,	আফজল,	
kiirti,	কীরটি,	কীর্তি,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
maryir,	মেরির,	ম্যারির,	
ganakantha,	গণকণ্ঠ,	গণকণ্ঠ,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
sulfate,	সুলফাতে,	সালফেট,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
fuda,	ফুড,	ফুড,	
shaarthe,	সার্থে,	স্বার্থে,	
eekbaler,	একবালের,	ইকবালের,	
mojdoor,	মজদুর,	মজদুর,	
buffar,	বাফার,	বাফার,	
lumbinee,	লুম্বিনী,	লুম্বিনী,	
heemi,	হেমি,	হিমি,	
sarsa,	সর্ষ,	সোর্স,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
mmesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
ting,	টিং,	টিং,	
jyeshthaa,	জ্যাষ্ঠা,	জ্যেষ্ঠা,	
redcrosser,	রেডক্রাসের,	রেডক্রসের,	
shomratder,	সম্রাত্দের,	সম্রাটদের,	
charger,	চার্গের,	চার্জার,	
sangastha,	সংস্থা,	সংস্থা,	
shphingtar,	স্ফিংগাটার,	স্ফিংটার,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
themekey,	থেমেকে,	থিমকে,	
chocchitrei,	চাচ্িত্রে,	চলচ্চিত্রেই,	
peengnaa,	পিংহা,	পিংনা,	
machgulo,	মাছগুলো,	মাছগুলো,	
paite,	পেইটে,	পাইতে,	
nishader,	নিশাদের,	নিষাদের,	
kompito,	কম্পিত,	কম্পিত,	
boopon,	বুপন,	বপন,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
bohoodeen,	বহুদীন,	বহুদিন,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
okritakarjo,	অকৃতরার্্,	অকৃতকার্য,	
ganoparibahaner,	গণপরিবহণের,	গণপরিবহনের,	
heriken,	হেরিকেন,	হ্যারিকেন,	
sobchey,	সবছে,	সবচে,	
samannoi,	সামান্যই,	সামান্যই,	
baraak,	বারক,	বারাক,	
aaireshe,	আইরেশে,	আইরেসে,	
themeke,	থেমেকে,	থিমকে,	
gabhaskaar,	গভস্কার,	গাভাস্কার,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
dolgulo,	দলগুলো,	দলগুলো,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
dovar,	দোভার,	ডোভার,	
ap,	অ্যাপ,	আপ,	
ujobekeestaner,	উজবেক্ষাতিনের,	উজবেকিস্তানের,	
probhuder,	প্রভূদের,	প্রভুদের,	
bbiseshyer,	বিশেষ্যের,	বিশেষ্যের,	
udbhabone,	উদভাবনে,	উদ্ভাবনে,	
ekaar,	একার,	একার,	
dhanyi,	ধানই,	ধন্যি,	
parshe,	পারসে,	পার্শ্বে,	
gaichey,	গাছে,	গাইছে,	
canal,	কানাল,	ক্যানেল,	
daakteekit,	ডাকটিকিট,	ডাকটিকিট,	
giitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
patjat,	পাতাজ,	পাটজাত,	
hisabke,	হিসাবকে,	হিসাবকে,	
valapuk,	ভালাপুক,	ভোলাপুক,	
ivaner,	ইভানের,	ইভানের,	
palbongsher,	পালবংশের,	পালবংশের,	
superheiro,	সুপারহাইর,	সুপারহিরো,	
rooshod,	রুশদ,	রুশদ,	
itostato,	ইতস্তত,	ইতস্তত,	
haryken,	হারিকেন,	হ্যারিকেন,	
bosonte,	বসন্তে,	বসন্তে,	
samosher,	সমসের,	সমশের,	
manushe,	মানুসে,	মানুষে,	
antarbhuttirmulok,	অন্তর্ভূর্মীকূলক,	অন্তর্ভুক্তিমূলক,	
monzushree,	মন্জুস্রী,	মঞ্জুশ্রী,	
joruri,	জরুরি,	জরূরী,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
bolovodro,	বলভদ্র,	বলভদ্র,	
sanatoni,	সানানানী,	সনাতনী,	
jahra,	জাহরা,	যাহরা,	
sahopatheeke,	সহপাঠিকে,	সহপাঠীকে,	
gemi,	জেমি,	জেমি,	
muhit,	মুহিত,	মুহিত,	
adwanced,	অ্যানভান্স,	অ্যাডভান্সড,	
jaank,	জাঁক,	জাঁক,	
istan,	ইস্টান,	স্টোন,	
elakaasoho,	এলাকাহহ,	এলাকাসহ,	
nirbahey,	নির্বাহে,	নির্বাহে,	
holdim,	হোলিম,	হোল্ডিং,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
udbhaboney,	উদভাবনে,	উদ্ভাবনে,	
manushera,	মানুসেরা,	মানুষেরা,	
kranti,	ক্রান্তি,	ক্রান্তি,	
